Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,143195,-,-,-,37.37,-122.02,-8,33,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,10,30,769,74,403,15.100000000000000,20,1027,69,187,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,11,30,805,79,472,15.3,20,1027,69,203,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,12,30,818,77,486,15.200000000000000,20,1027,69,220,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,13,30,804,72,443,15,20,1027,69,236,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,14,30,740,67,345,14.700000000000000,20,1027,69,250,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,15,30,612,54,207,14.5,20,1027,69,256,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,16,30,311,31,59,14,20,1027,69,273,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,17,30,0,0,0,13.200000000000000,20,1028,69,283,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,18,30,0,0,0,12.5,20,1028,69,287,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,19,30,0,0,0,11.8,20,1028,69,287,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,20,30,0,0,0,11.200000000000000,20,1029,69,287,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,21,30,0,0,0,10.8,20,1029,69,289,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,22,30,0,0,0,10.4,20,1028,69,292,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,23,30,0,0,0,10.200000000000000,20,1028,69,296,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,0,30,0,0,0,10,20,1028,69,301,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,1,30,0,0,0,9.8,20,1028,69,303,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,2,30,0,0,0,9.600000000000000,20,1028,69,299,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,3,30,0,0,0,9.4,20,1027,69,289,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,4,30,0,0,0,9.3,20,1027,69,277,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,5,30,0,0,0,9.1,20,1027,69,261,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,6,30,0,0,0,9.1,20,1027,69,259,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,7,30,99,10,12,9.1,20,1028,69,270,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,8,30,586,44,150,10.200000000000000,20,1028,69,274,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,9,30,765,59,307,10.5,20,1029,69,277,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
